HJD	Orbital	RV_Aa	RV_Ab	RV_B
52631.1403	0.895	31.22	-16.84	7.14
52679.0055	0.267	-3.66	21.03	7.09
52749.7738	0.296	0.00	22.07	X
53031.0457	0.361	1.53	17.70	X
53366.1060	0.967	32.25	-20.59	X
53423.9356	0.625	12.45	3.01	X
55172.1516	0.748	18.68	-4.97	7.64
55251.9446	0.036	-7.34	27.51	X
55543.1431	0.385	1.81	15.55	7.79
55597.9402	0.956	34.40	-20.58	X
55601.9331	0.071	-12.17	33.82	X
