HJD	Orbital	RV_Aa	RV_Ab	RV_B
51260.5221	0.598	13.23	2.40	10.11
51331.5915	0.636	10.88	-0.99	15.45
51621.5378	0.949	38.05	-17.73	10.11
51623.6000	0.008	15.76	9.47	6.49
51624.5913	0.037	-4.49	32.46	12.74
51625.5186	0.063	-7.27	37.20	11.83
51733.4665	0.158	-4.76	32.97	12.54
51737.5133	0.274	-0.56	28.24	11.77
